program,work_type,pool_dollars_fy22_25_$M,n_active_vendors,hhi_fy22_25,top1_share,top3_share,n_new_entrants_fy22_25,new_entrant_dollars_$M,entrant_rate,n_credible_entrants,credible_entrant_dollars_$M,credible_entrant_rate,median_cadence_days,n_exits_fy22_25,churn_ratio,n_records_pre_fy22,pre_fy22_record_share,barrier_score,seeding_evidence_count
ddg,castings,67.0,10,0.2957,0.431,0.8914,6,45.3,0.677,5,16.5,0.2461,172,3,0.9,34,0.425,5,1
ddg,coatings,12.6,5,0.453,0.6407,0.9181,1,0.4,0.0358,1,0.4,0.0358,92,2,0.6,42,0.3784,2,0
ddg,electrical,321.5,27,0.1437,0.2935,0.5527,19,146.7,0.4563,16,48.0,0.1492,51,11,1.1111,324,0.3462,3,0
ddg,hvac,243.6,13,0.552,0.7307,0.9098,8,37.2,0.1527,8,37.2,0.1527,26,8,1.2308,124,0.4397,2,0
ddg,machining,696.2,13,0.3157,0.4782,0.8669,7,572.9,0.823,4,16.6,0.0238,72,4,0.8462,191,0.519,3,1
ddg,piping,273.3,62,0.0421,0.0737,0.2118,32,136.0,0.4977,32,136.0,0.4977,78,31,1.0161,624,0.4157,4,0
ddg,structural,205.5,44,0.0575,0.1356,0.296,24,118.9,0.5783,23,91.0,0.4426,79,16,0.9091,337,0.3679,3,1
ddg,unbucketed,73.6,185,0.0305,0.1127,0.2142,122,31.2,0.4236,122,31.2,0.4236,220,85,1.1189,874,0.565,,0
submarines,castings,221.3,9,0.5879,0.759,0.8715,5,21.2,0.0956,5,21.2,0.0956,56,1,0.6667,466,0.4674,5,2
submarines,coatings,314.0,13,0.2276,0.3725,0.7618,5,110.8,0.3528,3,16.9,0.0538,60,6,0.8462,189,0.3663,2,0
submarines,electrical,1909.5,31,0.5179,0.6734,0.9367,20,78.1,0.0409,20,78.1,0.0409,78,13,1.0645,237,0.3686,3,0
submarines,hvac,115.9,6,0.3682,0.5015,0.9808,2,2.2,0.0187,2,2.2,0.0187,63,3,0.8333,54,0.3724,2,0
submarines,machining,202.4,31,0.1092,0.2368,0.5017,18,61.9,0.3057,18,61.9,0.3057,52,9,0.871,395,0.2873,3,2
submarines,piping,1033.7,81,0.0693,0.1915,0.3603,46,656.9,0.6354,40,172.6,0.167,33,31,0.9506,1414,0.387,4,1
submarines,structural,900.2,50,0.0823,0.1576,0.4064,26,383.7,0.4263,23,120.3,0.1336,36,17,0.86,392,0.2788,3,2
submarines,unbucketed,257.6,428,0.0144,0.0596,0.1393,264,135.1,0.5246,264,135.1,0.5246,175,213,1.1145,2255,0.5281,,0
