rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,1426.6223,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,6A9R2,USA,ok
2,W8PTMRME1496,LEONARDO SPA,490.6476,336411,Aircraft Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,A1512,ITA,ok
3,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,197.9923,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",33,3339,Manufacturing — Machinery/Electronics/Transport Eq,0UBG9,USA,ok
4,N1PJDANWUJ61,SCOT FORGE COMPANY,197.5328,332111,Iron and Steel Forging ,33,3321,Manufacturing — Machinery/Electronics/Transport Eq,2W651,USA,ok
5,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,188.5239,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,51VQ7,USA,ok
6,E8LNMDLEKM35,DC FABRICATORS INC,162.9164,332312,Fabricated Structural Metal Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,65427,USA,ok
7,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",141.9053,,,,,Unknown,,,not_found
8,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,110.835,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1SGJ6,USA,ok
9,F2LEAK3EK9R3,THE GRAHAM CORPORATION,89.1203,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,1LCX3,USA,ok
10,UCWYBGRA11H1,"AUSTAL USA, LLC",87.5554,,,,,Unknown,,,not_found
11,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,83.9819,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,U1VL1,GBR,ok
12,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",82.6028,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",33,3369,Manufacturing — Machinery/Electronics/Transport Eq,6UJS1,USA,ok
13,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,74.7044,,,,,Unknown,,,not_found
14,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",74.0757,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,88ML5,USA,ok
15,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",71.4569,,,,,Unknown,,,not_found
16,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",68.8453,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,1P555,USA,ok
17,EGAVSJTA2D81,GOODRICH CORP,64.9453,,,,,Unknown,,,not_found
18,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",58.7196,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,66935,USA,ok
19,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",57.2668,325212,Synthetic Rubber Manufacturing ,32,3252,Manufacturing — Chemicals/Plastics/Metals,82094,USA,ok
20,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",52.9554,,,,,Unknown,,,not_found
21,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",52.277,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,27410,USA,ok
22,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",51.7972,,,,,Unknown,,,not_found
23,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",51.2006,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,29293,USA,ok
24,TZVRTYNM3MN3,"PEGASUS STEEL, LLC",48.9201,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,4T1A9,USA,ok
25,JEP5GQGFPUL9,PORTLAND VALVE LLC,48.1286,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,53154,USA,ok
26,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,44.2596,334419,Other Electronic Component Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,1NUQ8,USA,ok
27,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",38.8756,332912,Fluid Power Valve and Hose Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,99657,USA,ok
28,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,38.8644,,,,,Unknown,,,not_found
29,GU5YDKH7GPF1,CIRCOR PUMPS NORTH AMERICA LLC,37.7465,,,,,Unknown,,,not_found
30,NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",37.0961,339999,All Other Miscellaneous Manufacturing ,33,3399,Manufacturing — Machinery/Electronics/Transport Eq,82005,USA,ok
31,HG5LNJAG4LU8,"HUNT VALVE COMPANY, INC.",36.5339,,,,,Unknown,,,not_found
32,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",36.2654,332919,Other Metal Valve and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,7A8G3,USA,ok
33,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",33.9556,,,,,Unknown,,,not_found
34,K3XPS1HXNBF3,"B. & F. MACHINE CO., INC.",33.8862,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,9J253,USA,ok
35,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,32.8948,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,3GR33,USA,ok
36,FK17Z7DJWLL1,APCO TECHNOLOGIES SA,32.8017,,,,,Unknown,SVP45,CHE,ok
37,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",31.6148,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,60756,USA,ok
38,UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",31.1098,,,,,Unknown,,,not_found
39,JG6AMW7E23Z6,C. H. POWELL COMPANY,30.2209,488510,Freight Transportation Arrangement ,48,4885,Transportation,1YFV2,USA,ok
40,HPDLRXR4FYX5,BAE SYSTEMS LAND & ARMAMENTS L.P.,28.9666,,,,,Unknown,,,not_found
41,G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",28.9276,326291,Rubber Product Manufacturing for Mechanical Use ,32,3262,Manufacturing — Chemicals/Plastics/Metals,18444,USA,ok
42,GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC",28.1247,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,81,8113,Other Services,0BNL6,USA,ok
43,RA8BS6AS7V54,GOODWIN STEEL CASTINGS LIMITED,27.5618,,,,,Unknown,,,not_found
44,K294P4QJHFU9,MW JONES & COMPANY INC,26.7188,541611,Administrative Management and General Management Consulting Services ,54,5416,Professional/Scientific/Technical Services,7PYS5,USA,ok
45,WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",26.0522,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,40883,USA,ok
46,PUG1H9MFJD63,THE AMERICAN TANK & FABRICATING COMPANY,25.0953,332313,Plate Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,96059,USA,ok
47,PAH8M4BJACA5,TELEDYNE TECHNOLOGIES INCORPORATED,24.9922,334417,Electronic Connector Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,17476,USA,ok
48,WJ45NXW2TVD7,MOOG INC.,24.7255,333995,Fluid Power Cylinder and Actuator Manufacturing ,33,3339,Manufacturing — Machinery/Electronics/Transport Eq,07270,USA,ok
49,KTSAL8YX2QQ5,AMERICAN STEEL AND ALUMINUM LLC,24.1948,,,,,Unknown,,,not_found
50,F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,22.2548,333613,Mechanical Power Transmission Equipment Manufacturing ,33,3336,Manufacturing — Machinery/Electronics/Transport Eq,9L185,USA,ok
51,WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",20.8008,335313,Switchgear and Switchboard Apparatus Manufacturing ,33,3353,Manufacturing — Machinery/Electronics/Transport Eq,47750,USA,ok
52,H11HD5VHGHN3,LOCKHEED MARTIN CORPORATION,19.8465,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing ",33,3345,Manufacturing — Machinery/Electronics/Transport Eq,03538,USA,ok
53,D77VA4G9VJG8,CATERPILLAR INC,19.5156,,,,,Unknown,,,not_found
54,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",19.481,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,31913,USA,ok
55,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,18.4145,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,45681,USA,ok
56,C256E427Q518,"DELTAK MANUFACTURING, INC.",18.0422,332323,Ornamental and Architectural Metal Work Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,6UL20,USA,ok
57,E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,16.1264,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,17661,USA,ok
58,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,15.7233,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing ,33,3359,Manufacturing — Machinery/Electronics/Transport Eq,20950,USA,ok
59,WMXDDH6HJNA5,"HUNTINGTON INGALLS INDUSTRIES, INC.",15.5742,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,43689,USA,ok
60,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",15.5645,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,07MM0,USA,ok
61,TJLYWEFN1YR8,BABCOCK INTERNATIONAL GROUP PLC,15.4162,,,,,Unknown,,,not_found
62,RLXQHCXFT513,CUNICO CORPORATION,15.2381,332996,Fabricated Pipe and Pipe Fitting Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,53424,USA,ok
63,DTZJAQF8NZA1,"L-3 COMMUNICATIONS HOLDINGS, INC.",15.1753,,,,,Unknown,,,not_found
64,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",15.1682,339999,All Other Miscellaneous Manufacturing ,33,3399,Manufacturing — Machinery/Electronics/Transport Eq,94592,USA,ok
65,DA1PDLWQ7BH4,BEAST CODE LLC,15.1317,513210,Software Publishers,51,5132,Information,742A2,USA,ok
66,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",14.2324,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,00096,USA,ok
67,CU6NGN3UKFA6,OCEANEERING INTERNATIONAL INC,14.2286,,,,,Unknown,,,not_found
68,GE4GA2B9JYF9,"MERRILL TECHNOLOGIES GROUP, LLC",14.097,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,5VGF8,USA,ok
69,CFXRGJSB9UB6,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",14.0656,335313,Switchgear and Switchboard Apparatus Manufacturing ,33,3353,Manufacturing — Machinery/Electronics/Transport Eq,30086,USA,ok
