line_item_id,source_book_fy,exhibit,measure,unit,observed_fy,column_role,amount_type,amount,dollars_basis,page,source_id,extract_run_id,row_hash
3569M11101,2022,P-40,procurement_qty,units,,prior_years,prior_year,2.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,d40963777cb60cd9
3569M11101,2022,P-40,procurement_qty,units,2020,actual,actual,2.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,b6ec80d29cf215b9
3569M11101,2022,P-40,procurement_qty,units,2021,enacted,enacted,4.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,f6b065c6a5f210da
3569M11101,2022,P-40,procurement_qty,units,2022,request_base,request,5.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,ee8b8775d853d47f
3569M11101,2022,P-40,procurement_qty,units,2022,request_oco,request,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,a1b12f01d2688928
3569M11101,2022,P-40,procurement_qty,units,2022,request_total,request,5.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,d6ea98580f0fc855
3569M11101,2022,P-40,procurement_qty,units,2023,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,9989a3ff1c0a2f22
3569M11101,2022,P-40,procurement_qty,units,2024,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,336d59e19e43e9b6
3569M11101,2022,P-40,procurement_qty,units,2025,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,38d968010e8e922f
3569M11101,2022,P-40,procurement_qty,units,2026,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,ddbccb36aaed3cdc
3569M11101,2022,P-40,procurement_qty,units,,to_complete,to_complete,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,a6b8ea08baffd43c
3569M11101,2022,P-40,procurement_qty,units,,total,total,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,d61f1cce31e83c73
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,,prior_years,prior_year,94.244,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,277b2bd1d41fa6d6
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2020,actual,actual,42.232,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,64410df0a710d3e4
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2021,enacted,enacted,40.91,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,33bc70a934c8068d
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2022,request_base,request,44.409,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,08495dc2583cda69
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2022,request_oco,request,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,525ba59f3d517cf0
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2022,request_total,request,44.409,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,5db3994755642c2b
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2023,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,adedb5616174e01c
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2024,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,6b65c5f3dc87f90d
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2025,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,5fbc6db716d6670f
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,2026,outyear,outyear_estimate,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,9f9a0fc965c38fff
3569M11101,2022,P-40,gross_weapon_system_cost,USD_millions,,to_complete,to_complete,0.0,then_year,375,BUD-OPA34-FY2022,army-budget-extract-2026-06-20,664d13d5aa6f7c0f
