cell,desc,net,n,primes,top1,hhi,eff,label,span,n_years
336611,SHIP BUILDING AND REPAIRING,355367108658.74023,1487,155,0.430718374924245,0.30985127343754737,3.2273548173800126,Lower,29,30
541330,ENGINEERING SERVICES,124174593214.06981,1249,262,0.3664666573248239,0.1471926176580105,6.793818982983336,Lower,26,27
334511,"SEARCH, DETECTION, NAVIGATION, GUI",75881334173.86003,2075,175,0.3395839900551817,0.2115488157731732,4.727041351402409,Lower,25,24
336414,GUIDED MISSILE AND SPACE VEHICLE M,41385004169.459946,853,25,0.38310874671120937,0.28645769248696806,3.4909169005663667,Lower,27,24
541715,RESEARCH AND DEVELOPMENT IN THE PH,32451654703.399994,814,230,0.4445409929145637,0.2380019047093289,4.2016470465700575,Lower,9,10
541512,COMPUTER SYSTEMS DESIGN SERVICES,12432561249.579971,855,163,0.31194135491840186,0.15234929203282696,6.563863780768527,Lower,22,19
334220,RADIO AND TELEVISION BROADCASTING ,9949268012.600006,2148,144,0.20044116297545111,0.09036449080046345,11.066293752577327,Lower,23,24
334290,OTHER COMMUNICATIONS EQUIPMENT MAN,7964474862.649997,962,113,0.31217759022378644,0.15574748903776386,6.420649258477172,Lower,21,19
332410,POWER BOILER AND HEAT EXCHANGER MA,6031266364.0,3,1,1.0,1.0,1.0,High,0,1
336411,AIRCRAFT MANUFACTURING,5215074638.1100025,299,19,0.6348328840965225,0.4385958985200367,2.280003081137605,High,17,17
336413,OTHER AIRCRAFT PARTS AND AUXILIARY,3571044030.039997,564,38,0.32563811026910644,0.2591972302415134,3.8580659178658094,Lower,20,21
336612,BOAT BUILDING,3483895868.06,455,83,0.3744459127667397,0.16752517219561353,5.969252183978259,Lower,23,21
541511,CUSTOM COMPUTER PROGRAMMING SERVIC,3111849273.270003,628,194,0.08194982357292134,0.027390437357491786,36.50909209474458,Lower,21,22
336412,AIRCRAFT ENGINE AND ENGINE PARTS M,2010156789.8700001,30,4,0.9971781661517225,0.9943687311777231,1.0056631595963474,High,11,9
541519,OTHER COMPUTER RELATED SERVICES,1981357095.4800005,915,173,0.127876195713534,0.05830422497752039,17.15141570590394,Lower,22,23
332993,AMMUNITION (EXCEPT SMALL ARMS) MAN,1743306988.5700002,257,49,0.25837368878413913,0.12904811464550883,7.749047731127022,Lower,22,18
511210,SOFTWARE PUBLISHERS,1336247053.8500009,746,127,0.2865882602596842,0.11953111434907887,8.36602256613787,Lower,24,21
541712,RESEARCH AND DEVELOPMENT IN THE PH,893629134.2199998,46,16,0.5867219611943866,0.38892730070649745,2.5711746081683433,Moderate,11,10
336419,OTHER GUIDED MISSILE AND SPACE VEH,624606971.59,31,7,0.9104805542793349,0.8329077224829141,1.2006131928024157,High,19,17
334111,ELECTRONIC COMPUTER MANUFACTURING,339685848.86,139,55,0.3781616809505145,0.22427434457462533,4.4588247572261155,Lower,20,17
325998,ALL OTHER MISCELLANEOUS CHEMICAL P,332538779.34,16,5,0.6323426168140333,0.49902495479255704,2.003907801395817,High,13,9
811219,OTHER ELECTRONIC AND PRECISION EQU,291274407.78000003,45,9,0.7399010838012868,0.5914147250486508,1.6908608420558657,High,16,13
334210,TELEPHONE APPARATUS MANUFACTURING,274044551.8200001,48,15,0.2950874062736914,0.200208268108504,4.994798713597803,Lower,13,11
335999,ALL OTHER MISCELLANEOUS ELECTRICAL,254279798.33000004,40,15,0.3640054770291983,0.2338347032830446,4.276525194763553,Lower,17,16
334419,OTHER ELECTRONIC COMPONENT MANUFAC,158494659.61999992,166,27,0.2886722582306271,0.15115740581922965,6.615620283903972,Lower,16,17
517919,ALL OTHER TELECOMMUNICATIONS,142784051.92000002,9,7,0.6314171144303523,0.4330892249361133,2.3089930259694498,High,9,7
334418,PRINTED CIRCUIT ASSEMBLY (ELECTRON,142096578.79999995,20,6,0.6049431240775236,0.4887722509176608,2.0459426616844936,High,10,8
541513,COMPUTER FACILITIES MANAGEMENT SER,141141925.85000002,33,17,0.3029674705264056,0.16503566147918006,6.059296463789762,Lower,11,10
335311,"POWER, DISTRIBUTION, AND SPECIALTY",137986387.79999998,11,11,0.4350579137342996,0.28174912313153827,3.549256831344731,Lower,10,7
517410,SATELLITE TELECOMMUNICATIONS,135620297.2500001,54,18,0.3721529925344563,0.26791747801793475,3.7324925846497354,Lower,15,16
517110,WIRED TELECOMMUNICATIONS CARRIERS,80932987.96000004,28,10,0.4339796736203436,0.2659686630813505,3.759841435508269,Lower,11,12
519190,ALL OTHER INFORMATION SERVICES,75103103.40999998,7,3,0.8457627273168365,0.7313528427351681,1.3673290668566012,High,5,4
333999,ALL OTHER MISCELLANEOUS GENERAL PU,70798550.05000004,48,10,0.48615866660676055,0.36486000709052924,2.7407772311748038,Moderate,21,14
541611,ADMINISTRATIVE MANAGEMENT AND GENE,66745139.56,9,7,0.8140978420032238,0.6729617588534282,1.4859685366130901,High,9,5
334412,BARE PRINTED CIRCUIT BOARD MANUFAC,60158866.97,109,12,0.2729891998828648,0.17713277074380473,5.645482740437375,Lower,14,15
325920,EXPLOSIVES MANUFACTURING,58153972.779999994,24,2,0.9883535557826424,0.9769783908911007,1.0235640924339189,High,6,7
326291,RUBBER PRODUCT MANUFACTURING FOR M,56156590.5,21,5,0.7399997512313359,0.5788477516962784,1.7275699820368313,High,11,10
339999,ALL OTHER MISCELLANEOUS MANUFACTUR,48956323.42,35,6,0.4826304405519838,0.3464675067165948,2.8862735483532225,Moderate,10,9
333923,"OVERHEAD TRAVELING CRANE, HOIST, A",47034663.889999986,18,2,0.9610752587861217,0.9251807885293781,1.0808698282522173,High,5,6
518210,"DATA PROCESSING, HOSTING, AND RELA",46305720.94,16,8,0.33260835351114604,0.2537812470205338,3.9404014746569853,Lower,8,7
332994,"SMALL ARMS, ORDNANCE, AND ORDNANCE",42299378.160000004,22,5,0.7642381086010746,0.6236681378314095,1.6034168483853521,High,22,8
334510,ELECTROMEDICAL AND ELECTROTHERAPEU,41343719.0,7,4,0.9219254320106036,0.8527693517518505,1.1726500230639063,High,20,6
488310,PORT AND HARBOR OPERATIONS,37951356.26,1,1,1.0,1.0,1.0,High,0,1
517312,WIRELESS TELECOMMUNICATIONS CARRIE,35707617.11,10,3,0.6811990006240997,0.555778681887178,1.7992773609171968,High,3,3
488390,OTHER SUPPORT ACTIVITIES FOR WATER,32093365.250000007,10,6,0.34214030016687014,0.29987232230983957,3.3347525783548697,Lower,15,7
517210,WIRELESS TELECOMMUNICATIONS CARRIE,31510095.030000005,24,3,0.6762928382066513,0.5097679377671396,1.9616769237785938,High,6,6
333618,OTHER ENGINE EQUIPMENT MANUFACTURI,31508683.619999997,55,7,0.40309469583610613,0.2934184552546725,3.4081019175567877,Lower,10,7
334513,INSTRUMENTS AND RELATED PRODUCTS M,30756682.359999992,41,10,0.44783685765515047,0.36357217584817814,2.7504855058479056,Moderate,15,11
332322,SHEET METAL WORK MANUFACTURING,29211535.52,181,4,0.46535875324639553,0.35861507737338744,2.7885051775411194,Moderate,12,13
483111,DEEP SEA FREIGHT TRANSPORTATION,28289504.09,1,1,1.0,1.0,1.0,High,0,1
443120,COMPUTER AND SOFTWARE STORES,23964147.950000007,43,17,0.21754679285394746,0.1235450109098327,8.094215967408296,Lower,18,12
334515,INSTRUMENT MANUFACTURING FOR MEASU,22700667.519999996,29,21,0.20849642574739582,0.1372515338877404,7.285893072917578,Lower,12,12
334519,OTHER MEASURING AND CONTROLLING DE,22273002.59,33,4,0.9031652112783237,0.8216167786491391,1.2171124373143276,High,10,10
336999,ALL OTHER TRANSPORTATION EQUIPMENT,19992200.249999996,29,23,0.7921435260733746,0.6442966710793002,1.552080035311745,High,7,5
517311,WIRED TELECOMMUNICATIONS CARRIERS,19253950.97,2,2,0.5540802278255723,0.5058493420833315,1.9768731849714734,High,0,1
541620,ENVIRONMENTAL CONSULTING SERVICES,18079236.93,1,1,1.0,1.0,1.0,High,0,1
335313,SWITCHGEAR AND SWITCHBOARD APPARAT,17007748.26,3,2,0.9770634046296731,0.9551789840737104,1.0469242065347104,High,6,3
611420,COMPUTER TRAINING,16414981.580000002,16,7,0.6186539838931698,0.42182168926433106,2.3706699428946583,High,9,8
332312,FABRICATED STRUCTURAL METAL MANUFA,14507671.0,21,5,0.5018090774184223,0.3330645620587235,3.0024208934713608,Lower,13,8
423430,COMPUTER AND COMPUTER PERIPHERAL E,13997952.489999998,16,4,0.5418721684774056,0.3657169626987018,2.7343549848516493,Moderate,9,5
334113,COMPUTER TERMINAL MANUFACTURING,13229126.53,3,1,1.0,1.0,1.0,High,3,3
811310,COMMERCIAL AND INDUSTRIAL MACHINER,12942369.28,63,5,0.8011394587560401,0.6619217704967374,1.5107525459535085,High,11,12
332995,OTHER ORDNANCE AND ACCESSORIES MAN,12231864.23,1,1,1.0,1.0,1.0,High,0,1
335314,RELAY AND INDUSTRIAL CONTROL MANUF,11619869.04,3,1,1.0,1.0,1.0,High,1,2
332999,ALL OTHER MISCELLANEOUS FABRICATED,11370188.12,17,7,0.9385987432545663,0.8827894977207883,1.1327728779984687,High,9,7
517212,CELLULAR AND OTHER WIRELESS TELECO,11088035.14,13,3,0.5863667573117017,0.44020297105527734,2.271679351919748,High,6,6
811210,ELECTRONIC AND PRECISION EQUIPMENT,10943925.0,3,1,1.0,1.0,1.0,High,2,3
811213,COMMUNICATION EQUIPMENT REPAIR AND,10447054.11,6,5,0.630818632756177,0.43449735580867394,2.301509978441247,High,12,6
333914,"MEASURING, DISPENSING, AND OTHER P",10192182.499999998,26,3,0.7254416411794039,0.5690823673208458,1.7572148733193924,High,6,6
333921,ELEVATOR AND MOVING STAIRWAY MANUF,9429544.289999997,48,1,1.0,1.0,1.0,High,4,5
332710,MACHINE SHOPS,8849898.84,36,13,0.44704906367042724,0.2500621783149384,3.999005394332604,Lower,11,12
333998,ALL OTHER MISCELLANEOUS GENERAL PU,8048028.35,5,4,0.7251465509561731,0.5556762285920507,1.7996091042687905,High,1,2
334417,ELECTRONIC CONNECTOR MANUFACTURING,7443978.01,11,3,0.7697131832338661,0.6203170709305811,1.612078801087692,High,9,9
562213,SOLID WASTE COMBUSTORS AND INCINER,6738476.0,20,1,1.0,1.0,1.0,High,8,8
335312,MOTOR AND GENERATOR MANUFACTURING,6737689.0,5,4,0.7158169514799511,0.5483810530002147,1.823549509103132,High,12,4
333318,OTHER COMMERCIAL AND SERVICE INDUS,5621727.0600000005,2,2,0.7888044657223184,0.6668160388423077,1.4996639878910973,High,0,1
332510,HARDWARE MANUFACTURING,5373782.850000001,7,5,0.9692843133771214,0.9402753467966324,1.063518259206561,High,8,6
334413,SEMICONDUCTOR AND RELATED DEVICE M,4758651.45,3,3,0.4542894710222998,0.356064621122135,2.8084789689256615,Moderate,9,3
334516,ANALYTICAL LABORATORY INSTRUMENT M,4528681.450000001,7,3,0.952698786089271,0.9091091936038769,1.0999778761842844,High,8,6
483113,COASTAL AND GREAT LAKES FREIGHT TR,4276731.1,1,1,1.0,1.0,1.0,High,0,1
517911,TELECOMMUNICATIONS RESELLERS,3841577.0,1,1,1.0,1.0,1.0,High,0,1
334112,COMPUTER STORAGE DEVICE MANUFACTUR,3694551.550000001,16,5,0.7683206233784992,0.6180412040649809,1.6180150990302906,High,7,7
332439,OTHER METAL CONTAINER MANUFACTURIN,3622614.4,6,4,0.9991718688028182,0.9983446520073427,1.0016580927131016,High,0,1
325510,PAINT AND COATING MANUFACTURING,3520995.67,5,4,0.8833881922950505,0.7931950192898292,1.2607240031528808,High,10,3
561621,SECURITY SYSTEMS SERVICES (EXCEPT ,3373952.24,5,3,0.963084738271221,0.9283959093960372,1.0771266761079812,High,9,4
421430,COMPUTER AND COMPUTER PERIPHERAL E,3282751.7,1,1,1.0,1.0,1.0,High,0,1
