action_date,war_gov_id,source_url,piid,in_scope_ddg_piid,amount_usd,prime,prime_location,expected_completion,pop_biw_site_pct,pop_ingalls_site_pct,pop_other_us_pct,pop_foreign_pct,pop_locations_detail,paragraph_text,program_primary,program_all,work_type_primary,work_type_all,work_type_ambiguous,is_ddg_new_construction_tam,program_refined,ddg_relevance
2025-11-12,4330640,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4330640.htm,N00024-23-C-5408,no,22327419,,,March 2030,0.0,0.0,88.0,0.0,"STANDARD Missile provisioned items ordered spares and test equipment. Work will be performed in Minneapolis, Minnesota 49% | Tucson, Arizona 29% | Orangeburg, New York 5% | Warrington, Pennsylvania 2% | Camden, Arkansas 2% | Middletown, California 1%","(Awarded Oct. 02, 2025) Raytheon Company, Tucson, Arizona, was awarded a $22,327,419 cost-plus-fixed-fee modification to previously awarded contract (N00024-23-C-5408) for procurement of STANDARD Missile provisioned items ordered spares and test equipment. Work will be performed in Minneapolis, Minnesota (49%); Tucson, Arizona (29%); Orangeburg, New York (5%); Warrington, Pennsylvania (2%); Camden, Arkansas (2%), Middletown, California (1%) and various locations across the United States, each less than 1% (12%) and is expected to be completed by March 2030. Fiscal 2025 operations and maintenance (Navy) $13,396,451 (60%); and Fiscal 2024 weapons procurement (Navy) $8,930,968 (40%) funding were obligated at time of award, of which, $13,396,451 will expire at the end of the current Fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_weapons,ddg_gfe_weapons,other,,,no,ddg_gfe_weapons,borderline
2025-11-12,4330640,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4330640.htm,N00024-25-C-5409,no,10948646,,,,0.0,0.0,100.0,0.0,"Tucson, Arizona 100% [parsed from single-site]","(Awarded Oct. 02, 2025) Raytheon Co., Tucson, Arizona, was awarded a $10,948,646 cost-plus-fixed-fee completion contract modification to previously awarded contract (N00024-25-C-5409) for the redesign of the Steering Control Section of the STANDARD Missile 6 (SM-6) All-Up Round. Work will be performed in Tucson, Arizona, and is expected to be completed by Nov. 30, 2027. Fiscal 2024 weapons procurement (Navy) funding in the amount of $10,948,646 was obligated at time of award and will not expire at the end of the current Fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity (Awarded Sept.",ddg_gfe_weapons,ddg_gfe_weapons,other,,,no,ddg_gfe_weapons,borderline
2025-11-17,4333778,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4333778.htm,N00024-17-C-2117,no,698948760,General Dynamics Electric Boat Corp.,"Groton, Connecticut",December 2031,0.0,0.0,100.0,0.0,"Work will be performed in Groton, Connecticut 70% | Newport News, Virginia 15% | Quonset Point, Rhode Island 15%","General Dynamics Electric Boat Corp., Groton, Connecticut, was awarded a $2,283,291,317 cost-only modification to previously awarded contract (N00024-17-C-2117) for additional advance procurement and advance construction Columbia-class fleet ballistic missile submarine hulls (SSBN 828-832), and to support additional program execution in accordance with Defense Federal Acquisition Regulation Supplement (DFARS) 252.232-7998 - Obligations in Advance of Fiscal Year 2026 Funding (Deviation 2026-O0001). Work will be performed in Groton, Connecticut (70%); Newport News, Virginia (15%); and Quonset Point, Rhode Island (15%), and is expected to be completed by December 2031. No funding will be obligated at the time of award. Fiscal 2026 National Sea-Based Deterrence Fund funds in the amount of $2,229,067,000 (98%); and fiscal 2026 other procurement (Navy) funds in the amount of $54,224,317 (2%), will be obligated at the time made available and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., was the contracting activity. (Awarded Nov. 12, 2025) ARMY Raytheon Co., Tewksbury, Massachusetts, was awarded a $698,948,760 firm-fixed-price contract for the procurement of National Advanced Surface to Air Missile System fire units. Work will be performed in Tewksbury, Massachusetts, with an estimated completion date of Feb. 28, 2031. Fiscal 2026 Foreign Military Sales (Taiwan) funds in the amount of $698,948,760 were obligated at the time of the award. Army Contracting Command, Redstone Arsenal, Alabama, is the contracting activity (W31P4Q-26-C-0002).",col,col;sub_other,advance_procurement,advance_procurement;fms,Y,no,non_ddg,no
2025-11-19,4338006,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4338006.htm,N00024-21-C-5100,no,48990984,,,November 2026,0.0,0.0,100.0,0.0,"Foreign Military Sales program. Work will be performed in Arlington, Virginia 53% | Mount Laurel, New Jersey 40% | San Diego, California 7%","Innovative Defense Technologies LLC,* Arlington, Virginia, was awarded a $48,990,984 cost-plus-fixed-fee and cost modification to previously awarded contract (N00024-21-C-5100) to provide engineering labor and support for automated test and analysis requirements. This contract action combines purchases for the Navy (99%); and the government of Australia (1%), under the Foreign Military Sales program. Work will be performed in Arlington, Virginia (53%); Mount Laurel, New Jersey (40%); and San Diego, California (7%), and is expected to be completed by November 2026. Fiscal 2025 research, development, test, and evaluation (Navy) funds in the amount of $8,181,578 (56%); fiscal 2024 other procurement (Navy) funds in the amount of $4,119,970 (28%); fiscal 2025 defense-wide research, development, test, and evaluation funds in the amount of $2,000,000 (14%); and Foreign Military Sales (Australia) funds in the amount of $199,993 (1%), will be obligated at time of award, of which $14,301,548 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,fms,fms,,no,non_ddg,no
2025-11-20,4339288,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4339288.htm,N00024-21-D-6400,no,474319378,,,October 2030,0.0,0.0,100.0,0.0,"Seattle, Washington 100% [parsed from single-site]","The Applied Physics Laboratory, University of Washington, Seattle, Washington, was awarded a $474,319,378 cost-plus-fixed-fee modification to a previously awarded contract (N00024-21-D-6400) to exercise an option for research, development, engineering, and test and evaluation in support of programs throughout the Department of War (DOW) and other government agencies within its core competency areas including: experimental oceanography, acoustic propagation, underwater instrumentation and equipment, marine corrosion, acoustic and related systems, simulations and signal processing, mission-related and public services quick response research, development, and/or engineering. Work will be performed in Seattle, Washington, and is expected to be completed by October 2030. Funds of multiple different appropriation types and years from program offices and components throughout the DOW may be obligated on individual task orders for efforts that fall within the core competency areas. This contract is awarded pursuant to 10 U.S. Code 3204(a)(3), as implemented in FAR 6.302-3; Industrial mobilization; engineering, developmental, or research capability; or expert services. The Naval Sea Systems Command, Washington Navy Yard, D.C., is the contracting activity (N00024-21-D-6400) (Awarded Oct.",unknown,,other,,,no,non_ddg,no
2025-11-20,4339288,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4339288.htm,N00024-25-C-6108,no,68711261,Lockheed Martin Rotary and Mission Systems,"Manassas, Virginia",November 2026,0.0,0.0,80.0,0.0,"Navy submarines. Work will be performed in Manassas, Virginia 68% | Middletown, Rhode Island 7% | Newport, Rhode Island 5%","Lockheed Martin Rotary and Mission Systems, Manassas, Virginia, is awarded a $68,711,261 cost-plus-fixed-fee, term, and cost-only modification to a previously awarded contract (N00024-25-C-6108) for systems engineering and integration on Navy submarines. Work will be performed in Manassas, Virginia (68%); Waterford Connecticut (10%); Groton Connecticut (10%); Middletown, Rhode Island (7%); and Newport, Rhode Island (5%), and is expected to be completed by November 2026. Fiscal 2024 shipbuilding and conversion (Navy) funds in the amount of $3,500,000 will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",sub_other,sub_other,other,,,no,non_ddg,no
2025-11-21,4340534,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4340534.htm,N00024-15-C-2114,no,58556527,Huntington Ingalls Incorporated,"Newport News, Virginia",June 2026,0.0,0.0,100.0,0.0,"Newport News, Virginia 100% [parsed from single-site]","Huntington Ingalls Incorporated, Newport News, Virginia, was awarded a $60,000,000 cost-reimbursable, a $58,556,527 cost-plus-incentive-fee, a $20,924,993 fixed-price-incentive (firm target), and a $3,436,456 cost-plus-fixed-fee modification to previously-awarded contracts (N00024-15-C-2114) and (N00024-09-C-2116) to improve capability at ship delivery, to definitize unpriced change orders in support of Pre-Commissioning Unit John F. Kennedy (CVN 79). Work will be performed in Newport News, Virginia, and is expected to be completed by June 2026. No funds will be obligated at the time of award. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",cvn,cvn,other,,,no,non_ddg,no
2025-11-21,4340534,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4340534.htm,N00024-21-C-2451,no,31550329,BAE Systems Norfolk Ship Repair,"Norfolk, Virginia",September 2026,0.0,0.0,100.0,0.0,"Norfolk, Virginia 100% [parsed from single-site]","BAE Systems Norfolk Ship Repair, Norfolk, Virginia, is awarded a $31,550,329 cost plus award fee modification to previously awarded contract (N00024-21-C-2451) for the fitting out availabilities and post shakedown availabilities for amphibious transport ships USS Fort Lauderdale (LPD 28); USS Richard McCool Jr. (LPD 29); and Harrisburg (LPD 30). Work will be performed in Norfolk, Virginia, and is expected to be completed by September 2026. Fiscal year 2017 shipbuilding and conversion (Navy) funds in the amount of $2,098,383 (75%); and fiscal year 2025 shipbuilding and conversion (Navy) funds in the amount of $715,358 (25%) will be obligated at time of award and funds in the amount of $2,098,383 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",surface_other,surface_other,sustainment_maintenance,sustainment_maintenance,,no,non_ddg,no
2025-11-21,4340534,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4340534.htm,N00024-25-C-5239,no,22062022,,,November 2026,0.0,0.0,100.0,0.0,"Work will be performed in Saint Petersburg, Florida 81% | Largo, Florida 16% | Maynard, Massachusetts 3%","Raytheon Company, Largo, Florida, is being awarded a $22,062,022 firm-fixed price, cost-plus-fixed-fee, cost-plus-incentive-fee, and cost-only modification to previously awarded contract (N00024-25-C-5239) to exercise options for design, development, integration, testing, and maintenance of system capabilities for the design agent and engineering support efforts to the critical major weapon system, cooperative engagement capabilities (CEC). Work will be performed in Saint Petersburg, Florida (81%), Largo, Florida (16%), and Maynard, Massachusetts (3%) and is expected to be completed by November 2026. Fiscal year 2025 research, development, test, and evaluation (Navy) funds in the amount of $7,364,477 (33%), fiscal year 2025 Foreign Military Sales (Australia) funds in the amount of $6,276,754 (29%), fiscal year 2025 foreign military sales (Japan) funds in the amount of $4,540,824 (21%), fiscal year 2025 foreign military sales (Canada) funds in the amount of $1,979,967 (9%), fiscal year 2025 other procurement (Navy) funds in the amount of $1,650,000 (7%), and fiscal 2025 research, development, test, and evaluation (USMC) funds in the amount of $250,000 (1%), will be obligated at time of award, of which $7,614,477 will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_combat_systems,ddg_gfe_combat_systems,lead_yard,lead_yard;fms;engineering,Y,no,ddg_gfe_combat_systems,yes_new_construction
2025-11-21,4340534,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4340534.htm,N00024-23-G-5320,no,10847917,,,March 2029,0.0,0.0,100.0,0.0,"Grantsburg, Wisconsin 100% [parsed from single-site]","McNally Industries, LLC, Grantsburg, Wisconsin, was awarded a $10,847,917 firm-fixed-price order under previously awarded Basic Ordering Agreement (BOA) (N00024-23-G-5320) for the procurement of four MK 6 Ammunition Hoists. Work will be performed in Grantsburg, Wisconsin, and is expected to be completed by March 2029. Fiscal year 2025 shipbuilding and conversion (Navy) $5,423,959 (50%) and fiscal year 2024 shipbuilding and conversion (Navy) $5,423,958 (50%) funding was obligated at time of award and will not expire at the end of the current fiscal year. This order was not competitively procured in accordance with 10 U.S. Code 3204(a)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). The Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-F-5317).",unknown,,other,,,no,non_ddg,no
2025-11-28,4344447,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4344447.htm,N00024-20-C-2320,no,26447362,,,August 2027,0.0,0.0,100.0,0.0,"Mayport, Florida 100% [parsed from single-site]","(Awarded Nov. 26, 2025) BAE Systems Jacksonville Ship Repair LLC, Jacksonville, Florida, is awarded a $26,447,362 cost-plus-award-fee modification to a previously awarded contract (N00024-20-C-2320) for the accomplishment of a Post Shakedown Availability for a Littoral Combat Ship. Work will be performed in Mayport, Florida, and is expected to be completed by August 2027. Fiscal 2019 shipbuilding and conversion (Navy) funds in the amount of $468,234 will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",lcs,lcs,sustainment_maintenance,sustainment_maintenance,,no,non_ddg,no
2025-11-28,4344447,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4344447.htm,N00024-25-C-5315,no,23298840,,,February 2028,0.0,0.0,100.0,0.0,"Work will be performed in Aberdeen, South Dakota 90% | Minneapolis, Minnesota 10%","(Awarded Nov. 26, 2025) BAE Systems Land & Armaments L.P, Minneapolis, Minnesota, was awarded a $23,298,840 firm-fixed-price modification to a previously awarded contract (N00024-25-C-5315) for MK 41 Vertical Launching System canister and ancillary equipment production. This action combines purchases for the Navy (48%); and the government of Japan (52%), under the Foreign Military Sales (FMS) program. Work will be performed in Aberdeen, South Dakota (90%); and Minneapolis, Minnesota (10%), and is expected to be completed by February 2028. FMS (Japan) funds in the amount of $12,080,880 (52%); and fiscal 2025 Defense-wide procurement funds in the amount of $11,217,960 (48%), will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_vls,ddg_gfe_vls,component_procurement,component_procurement;fms,Y,no,non_ddg,no
2025-12-01,4345564,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4345564.htm,N00024-26-C-2100,no,91891302,,,November 2030,0.0,0.0,100.0,0.0,"Work will be performed in Newport News, Virginia 96% | Portsmouth, Virginia 2% | Bremerton, Washington 2%","Huntington Ingalls Industries, Inc, Newport News, Virgina, was awarded a $91,891,302 cost-plus-fixed-fee contract to provide Aircraft Carrier Engineering Support for the Nimitz-class and Gerald R. Ford-class aircraft carriers. The scope includes but is not limited to engineering, technical, design, integrated logistics support, configuration management, database management and modernization, and ship change document development. This contract includes options which, if exercised, would bring the cumulative value of this contract to $471,969,850. Work will be performed in Newport News, Virginia (96%); Portsmouth, Virginia (2%); and Bremerton, Washington (2%), and is expected to be completed by November 2030. If all options are exercised, work will continue through November 2030. Fiscal 2024 shipbuilding and conversion (Navy) funds in the amount of $10,800; fiscal 2026 operations and maintenance (Navy) funds in the amount of $4,370,000; and fiscal 2026 research, development, test and evaluation (Navy) funds in the amount of $1,300,000, will be obligated at time of award, of which $4,370,000 will expire at the end of the current fiscal year. In accordance with 10 U.S. Code 3204 (a)(1), this contract was not competitively procured (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-C-2100).",cvn,cvn,sustainment_maintenance,sustainment_maintenance;engineering,Y,no,non_ddg,no
2025-12-01,4345564,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4345564.htm,N00024-26-C-6103,no,14549938,,,July 2030,0.0,0.0,100.0,0.0,"Newtown, Pennsylvania 100% [parsed from single-site]","Delphinus Engineering Inc.,* Newtown, Pennsylvania, is awarded a $14,549,938 cost-plus-incentive-fee contract for the development, fabrication, production, integration, and testing of the Victoria-class bow array and lift system. This contract includes options which, if exercised, would bring the cumulative value of this contract to $36,979,203. This contract involves Foreign Military Sales (FMS) to Canada (100%). Work will be performed in Newtown, Pennsylvania, and is expected to be completed by July 2030. FMS funds in the amount of $14,549,938 will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured pursuant to 10 U.S. Code 2304 (a) (4), (International Agreement). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-C-6103).",unknown,,fms,fms,,no,non_ddg,no
2025-12-02,4346674,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4346674.htm,N00024-19-C-5603,no,64131178,,,December 2026,0.0,0.0,100.0,0.0,"Ship Self-Defense System combat system engineering support. Work will be performed in Moorestown, New Jersey 96% | San Diego, California 4%","Lockheed Martin, Rotary and Mission Systems, Moorestown, New Jersey, is awarded a $64,131,178 cost-plus-incentive-fee and cost-only modification to a previously awarded contract (N00024-19-C-5603) for Ship Self-Defense System combat system engineering support. Work will be performed in Moorestown, New Jersey (96%); and San Diego, California (4%), and is expected to be completed by December 2026. Fiscal 2025 research, development, test and evaluation (Navy) $8,000,000 will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg_gfe_combat_systems,ddg_gfe_combat_systems,component_procurement,engineering,,yes,ddg_gfe_aegis,yes_supplier_or_gfe
2025-12-02,4346674,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4346674.htm,N00024-20-C-4203,no,9541379,,,December 2026,0.0,100.0,0.0,0.0,"Pascagoula, Mississippi 100% [parsed from single-site]","Huntington Ingalls Inc., Ingalls Shipbuilding Division, Pascagoula, Mississippi, is awarded a $9,541,379 cost-plus-award-fee, cost-plus-fixed-fee with a special performance incentive, and cost only modification to a previously awarded contract (N00024-20-C-4203) to exercise Option Year Six for the accomplishment of follow-on for Ticonderoga-class guided missile cruiser integrated planning yard services, including design, planning and material support services for both maintenance and modernization. Work will be performed in Pascagoula, Mississippi, and is expected to be completed by December 2026. No funding will be obligated at the time of award. This option year was not competitively procured in accordance with Federal Acquisition Regulations 6.302-1 (a) (2ii), only one responsible source and no other supplies or services will satisfy the agency requirements. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg51,ddg51,lead_yard,lead_yard;sustainment_maintenance,Y,no,non_ddg,no
2025-12-05,4351194,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4351194.htm,N00024-24-C-2312,no,36387610,Huntington Ingalls Inc.,"Pascagoula, Mississippi",November 2026,0.0,98.0,0.0,0.0,"Arleigh Burke-class guided missile destroyer follow yard support. Work will be performed in Pascagoula, Mississippi 98%","Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a $36,387,610 cost-plus-award-fee modification to a previously awarded contract (N00024-24-C-2312) to exercise options for Arleigh Burke-class guided missile destroyer follow yard support. Work will be performed in Pascagoula, Mississippi (98%); and other locations (less than 1% each and collectively totaling 2%), and is expected to be completed by November 2026. Fiscal 2021 shipbuilding and conversion (Navy) funds in the amount of $10,181,212 (61%); fiscal 2020 shipbuilding and conversion (Navy) funds in the amount of $3,811,828 (23%); fiscal 2016 shipbuilding and conversion (Navy) funds in the amount of $1,822,397 (11%); fiscal 2019 shipbuilding and conversion (Navy) funds in the amount of $768,258 (4%); and fiscal 2024 shipbuilding and conversion (Navy) funds in the amount of $176,002 (1%), will be obligated at time of award and no funds will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg51,ddg51,construction,,,yes,ddg51,yes_new_construction
2025-12-05,4351194,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4351194.htm,N00024-18-C-2307,yes,,Huntington Ingalls Inc.,"Pascagoula, Mississippi",December 2033,0.0,100.0,0.0,0.0,"Pascagoula, Mississippi 100% [parsed from single-site]","Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a cost type modification to a previously awarded contract (N00024-18-C-2307) for shipyard infrastructure investments at the shipyards and supporting a distributed shipbuilding model. Work will be performed in Pascagoula, Mississippi, and is expected to be completed by December 2033. No funds will be obligated at the time of award. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,sib_supplier_dev,sib_supplier_dev,,no,non_ddg,no
2025-12-10,4356793,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4356793.htm,N00024-26-C-2443,no,30853810,Huntington Ingalls Industries,"Pascagoula, Mississippi",December 2026,0.0,80.0,20.0,0.0,"Work will be performed in Pascagoula, Mississippi 80% | Norfolk, Virginia 20%","Huntington Ingalls Industries, Pascagoula, Mississippi, is awarded a $30,853,810 cost-plus-fixed-fee and cost-plus-award-fee contract for post-delivery and engineering support for the San Antonio-class amphibious transport dock ship program. This contract includes options which, if exercised, would bring the cumulative value of this contract to $286,757,190. Work will be performed in Pascagoula, Mississippi (80%); and Norfolk, Virginia (20%), and is expected to be completed by December 2026. If all options are exercised, work will continue through December 2030. Fiscal 2017 shipbuilding and conversion (Navy) funding in the amount of $2,809,751 (23%); fiscal 2021 shipbuilding and conversion (Navy) funding in the amount of $2,630,256 (21%); fiscal 2023 shipbuilding and conversion (Navy) funding in the amount of $3,750,000 (31%); fiscal 2024 post-delivery shipbuilding and conversion (Navy) funding in the amount of $161,647 (1%); and fiscal 2025 post-delivery shipbuilding and conversion (Navy) funding in the amount of $3,017,185 (24%), will be obligated at award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 2304 (c)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-C-2443).",surface_other,surface_other,engineering,engineering,,no,non_ddg,no
2025-12-10,4356793,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4356793.htm,N00024-26-C-5524,no,24764102,,,December 2026,0.0,0.0,93.0,0.0,"Floating Decoy System. Work will be performed in Bridgend, United Kingdom 64% | West Fargo, North Dakota 16% | York, United Kingdom 11% | Bloomfield, Connecticut 2%","IrvinGQ Ltd., Llangeinor, Bridgend, United Kingdom, is awarded a $24,764,102 firm-fixed-price undefinitized contract for follow-on production of the MK-59 Floating Decoy System. Work will be performed in Bridgend, United Kingdom (64%); West Fargo, North Dakota (16%); York, United Kingdom (11%); Bloomfield, Connecticut (2%); and various other locations each less than 2% (7%), and is expected to be completed by December 2026. Fiscal 2025 other procurement (Navy) funds in the amount of $24,764,102 will be obligated at time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 2304(c)(1) (only one responsible source and no other supplies or services will satisfy agency requirements). Naval Sea Systems Command, Washington, D.C., is the contracting activity (N00024-26-C-5524).",unknown,,other,,,no,non_ddg,no
2025-12-10,4356793,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4356793.htm,,no,9767295,Huntington Ingalls Industries,"Pascagoula, Mississippi",September 2026,0.0,83.0,17.0,0.0,"Work will be performed in Pascagoula, Mississippi 83% | Brunswick, Georgia 12% | Pelham, Alabama 4% | Tulsa, Oklahoma 1%","Huntington Ingalls Industries, Pascagoula, Mississippi, is awarded a $9,767,295 fixed-price incentive (firm-target) modification to previously awarded contract N00024-16-C-2427 to definitize engineering change proposals for the detail design and construction of one Amphibious Assault Ship (General Purpose) replacement America-class Flight 1 ship (LHA 8). Work will be performed in Pascagoula, Mississippi (83%); Brunswick, Georgia (12%); Pelham, Alabama (4%); and Tulsa, Oklahoma (1%), and is expected to be completed by September 2026. No funding will be obligated at time of award. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",surface_other,surface_other,design,design,,no,non_ddg,no
2025-12-11,4357707,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4357707.htm,N00024-23-C-5101,no,104623274,,,January 2032,0.0,0.0,100.0,0.0,"Moorestown, New Jersey 100% [parsed from single-site]","Lockheed Martin, Rotary and Mission Systems, Moorestown, New Jersey, is awarded a $104,623,274 cost-plus-incentive-fee and cost type modification to a previously awarded contract (N00024-23-C-5101) for the production of the Foreign Military Sale (FMS) portions unit of the Solid-State SPY ASEA Radar (SPY-7). This contract involves FMS to the government of Canada. Work will be performed in Moorestown, New Jersey, and is expected to be completed by January 2032. FMS (Canada) funds in the amount of $104,623,274 will be obligated at the time of award and will not expire at the end of the current fiscal year. This contract was not competitively procured in accordance with 10 U.S. Code 2304(c)(1) (only one responsible source and no other supplies or services will satisfy agency requirements) and 10 U.S. Code 2304(c)(4) (International Agreement). Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,component_procurement,fms,,yes,ddg_gfe_aegis,yes_supplier_or_gfe
2025-12-11,4357707,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4357707.htm,N00024-25-F-5362,no,19981684,Raytheon Missiles and Defense,"Marlborough, Massachusetts",September 2029,0.0,0.0,100.0,0.0,"AEGIS solid state switch assembly mod kits with on-board assembly spares for Navy guided-missile destroyers. Work will be performed in Andover, Massachusetts 56% | Chesapeake, Virginia 28% | Marlborough, Massachusetts 15% | Burlington, Massachusetts 1%","Raytheon Missiles and Defense, Marlborough, Massachusetts, was awarded a $19,981,684 firm-fixed-price modification under previously awarded order (N00024-25-F-5362) for additional AEGIS solid state switch assembly mod kits with on-board assembly spares for Navy guided-missile destroyers. Work will be performed in Andover, Massachusetts (56%); Chesapeake, Virginia (28%); Marlborough, Massachusetts (15%); and Burlington, Massachusetts (1%), and is expected to be completed by September 2029. Fiscal 2026 other procurement (Navy) funds in the amount of $19,981,684 will be obligated at time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",unknown,,other,,,no,non_ddg,no
2025-12-11,4357707,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4357707.htm,,no,,,,,0.0,0.0,0.0,0.0,,"MISSILE DEFENSE AGENCY Lockheed Martin Rotary and Mission Systems, Moorestown, New Jersey, is being awarded a noncompetitive firm-fixed-price and cost-plus-fixed-fee contract modification under a Foreign Military Sales (FMS) Case JA-P-NCO with the Japan Ministry of Defense. The contract modification P00061 to contract HQ0851-21-C-0001 has an estimated value of $52,293,200. The total value of the contract is increased from $1,552,193,993 to $1,604,487,193. Under this contract modification, the contractor will procure material and equipment for the initial outfitting and spares for the Aegis System Equipped Vessel program supporting Japan. The work will be performed in Moorestown, New Jersey. The performance period for this action is from Dec. 11, 2025, through Dec. 31, 2029. FMS funds in the amount of $51,518,358 are being obligated at the time of modification award. The Missile Defense Agency, Dahlgren, Virginia, is the contracting activity.",unknown,,component_procurement,fms,,yes,ddg_gfe_aegis,yes_supplier_or_gfe
2025-12-12,4358989,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4358989.htm,N00024-22-C-2105,no,9434758,Huntington Ingalls Inc.,"Newport News, Virginia",,0.0,0.0,0.0,0.0,,"Huntington Ingalls Inc., Newport News, Virginia, was awarded a $9,434,758 cost-plus-fixed-fee modification to a previously awarded contract (N00024-22-C-2105) to exercise options for planning and design yard activities for standard navy valves installed in commissioned nuclear-powered submarines, submersibles, and aircraft carriers. Work will be performed in Newport News, Virginia. Fiscal 2026 operations and maintenance (Navy) in the amount of $2,500,000 will be obligated at time of award and funds will expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",sub_other,sub_other,component_procurement,component_procurement,,no,non_ddg,no
2025-12-15,4360555,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4360555.htm,,no,117702348,BAE Systems - Norfolk Ship Repair (BAE),"Norfolk, Virginia",August 2027,0.0,0.0,100.0,0.0,"Norfolk, Virginia 100% [parsed from single-site]","BAE Systems - Norfolk Ship Repair (BAE), Norfolk, Virginia, was awarded a $117,702,348 firm-fixed-price modification to a previously awarded contract (N0002426C4403) to provide funding for the accomplishment of maintenance, modernization, and repair of USS Forrest Sherman (DDG 98) fiscal 2026 depot modernization period. The scope of this acquisition includes all labor, supervision, equipment, production, testing, facilities, and quality assurance necessary to prepare for and accomplish the Chief of Naval Operations availability for critical modernization, maintenance, and repair programs. Work will be performed in Norfolk, Virginia, and is expected to be completed by August 2027. Fiscal 2026 other procurement (Navy) funds in the amount of $117,702,348 will be obligated at the time of award and will not expire at the end of the current fiscal year. Naval Sea Systems Command, Washington, D.C., is the contracting activity.",ddg51,ddg51,repair_overhaul,sustainment_maintenance,,no,ddg_repair,yes_sustainment
